08-19-2016 21:56:57.287,-,API," ,0013A200403CBFAE,ZigBee Coordinator API,21A7,/dev/ttyUSB0 - 9600/8/N/1/N,0"

08-19-2016 21:45:43.586,0,SENT,7E0005096B44300215
08-19-2016 21:45:43.632,1,RECV,7E0005886B44300098
08-19-2016 21:45:43.641,2,SENT,7E0004096C5752E1
08-19-2016 21:45:43.682,3,RECV,7E0005886C57520062
08-19-2016 21:45:43.693,4,SENT,7E0004096D414305
08-19-2016 21:45:43.733,5,RECV,7E0005886D41430086
08-19-2016 21:45:44.837,6,SENT,7E0005096E44310211
08-19-2016 21:45:44.885,7,RECV,7E0005886E44310094
08-19-2016 21:45:44.897,8,SENT,7E0004096F5752DE
08-19-2016 21:45:44.935,9,RECV,7E0005886F5752005F
08-19-2016 21:45:44.945,10,SENT,7E00040970414302
08-19-2016 21:45:44.985,11,RECV,7E0005887041430083
08-19-2016 21:55:49.061,12,SENT,7E0004080149535A
08-19-2016 21:55:49.109,13,RECV,7E000F880149530001042C03042C0243020926
